Id,Id2,Geography,Retirement_Income
0500000US13113,13113,"Fayette County, Georgia",10435
0500000US13115,13115,"Floyd County, Georgia",6561
0500000US13117,13117,"Forsyth County, Georgia",8974
0500000US13119,13119,"Franklin County, Georgia",1663
0500000US13121,13121,"Fulton County, Georgia",48586
0500000US13123,13123,"Gilmer County, Georgia",2712
0500000US13125,13125,"Glascock County, Georgia",263
0500000US13127,13127,"Glynn County, Georgia",6329
0500000US13129,13129,"Gordon County, Georgia",2769
0500000US13131,13131,"Grady County, Georgia",1553
0500000US13133,13133,"Greene County, Georgia",1734
0500000US13135,13135,"Gwinnett County, Georgia",32296
0500000US13137,13137,"Habersham County, Georgia",3191
0500000US13139,13139,"Hall County, Georgia",10415
0500000US13141,13141,"Hancock County, Georgia",713
0500000US13143,13143,"Haralson County, Georgia",1792
0500000US13145,13145,"Harris County, Georgia",3015
0500000US13147,13147,"Hart County, Georgia",2141
0500000US13149,13149,"Heard County, Georgia",780
0500000US13151,13151,"Henry County, Georgia",14743
0500000US13153,13153,"Houston County, Georgia",13891
0500000US13155,13155,"Irwin County, Georgia",549
0500000US13157,13157,"Jackson County, Georgia",3827
0500000US13159,13159,"Jasper County, Georgia",900
0500000US13161,13161,"Jeff Davis County, Georgia",657
0500000US13163,13163,"Jefferson County, Georgia",1106
0500000US13165,13165,"Jenkins County, Georgia",636
0500000US13167,13167,"Johnson County, Georgia",436
0500000US13169,13169,"Jones County, Georgia",2378
0500000US13171,13171,"Lamar County, Georgia",1371
0500000US13173,13173,"Lanier County, Georgia",578
0500000US13175,13175,"Laurens County, Georgia",3346
0500000US13177,13177,"Lee County, Georgia",1882
0500000US13179,13179,"Liberty County, Georgia",4546
0500000US13181,13181,"Lincoln County, Georgia",778
0500000US13183,13183,"Long County, Georgia",822
0500000US13185,13185,"Lowndes County, Georgia",6649
0500000US13187,13187,"Lumpkin County, Georgia",1809
0500000US13189,13189,"McDuffie County, Georgia",1462
0500000US13191,13191,"McIntosh County, Georgia",1395
0500000US13193,13193,"Macon County, Georgia",868
0500000US13195,13195,"Madison County, Georgia",2144
0500000US13197,13197,"Marion County, Georgia",744
0500000US13199,13199,"Meriwether County, Georgia",1636
0500000US13201,13201,"Miller County, Georgia",305
0500000US13205,13205,"Mitchell County, Georgia",1047
0500000US13207,13207,"Monroe County, Georgia",2163
0500000US13209,13209,"Montgomery County, Georgia",453
0500000US13211,13211,"Morgan County, Georgia",1384
0500000US13213,13213,"Murray County, Georgia",1577
0500000US13215,13215,"Muscogee County, Georgia",14154
0500000US13217,13217,"Newton County, Georgia",6322
0500000US13219,13219,"Oconee County, Georgia",2353
0500000US13221,13221,"Oglethorpe County, Georgia",1066
0500000US13223,13223,"Paulding County, Georgia",7149
0500000US13225,13225,"Peach County, Georgia",2233
0500000US13227,13227,"Pickens County, Georgia",2694
0500000US13229,13229,"Pierce County, Georgia",1306
0500000US13231,13231,"Pike County, Georgia",1362
0500000US13233,13233,"Polk County, Georgia",2717
0500000US13235,13235,"Pulaski County, Georgia",895
0500000US13237,13237,"Putnam County, Georgia",2240
0500000US13239,13239,"Quitman County, Georgia",178
0500000US13241,13241,"Rabun County, Georgia",1359
0500000US13243,13243,"Randolph County, Georgia",399
0500000US13245,13245,"Richmond County, Georgia",15588
0500000US13247,13247,"Rockdale County, Georgia",6013
0500000US13249,13249,"Schley County, Georgia",309
0500000US13251,13251,"Screven County, Georgia",813
0500000US13253,13253,"Seminole County, Georgia",718
0500000US13255,13255,"Spalding County, Georgia",4397
0500000US13257,13257,"Stephens County, Georgia",1657
